,start_idx,end_idx,start_s,end_s,duration_s,distance_m,avg_speed,avg_pace_min_km,avg_cadence_spm,elev_gain_m
Rep 1,757,1052,765.0,1060.0,295.0,1129.5314201084686,3.8289200681643005,4.35283745023624,144.51351351351352,1.8999999999999986
Rep 2,1194,1504,1202.0,1512.0,310.0,1174.916630779519,3.7900536476758675,4.397475132545151,143.90996784565917,0.7000000000000002
Rep 3,1640,1967,1648.0,1975.0,327.0,1266.1349110718547,3.8719722051127055,4.304438612616934,145.76829268292684,0.8999999999999995
